0	0	0	1.5124	1.39237	-1	2.37575	2.18721	-1.57086	
-1.5124	-1.39237	1	0	0	0	-2.08046	-1.91535	1.3756	
0	0	0	0.502758	1.59842	-1	0.831643	2.64405	-1.65416	
-0.502758	-1.59842	1	0	0	0	-0.157586	-0.501012	0.313442	
0	0	0	0.420339	-0.297225	-1	-0.105708	0.0747469	0.251483	
-0.420339	0.297225	1	0	0	0	-0.193032	0.136494	0.459229	
0	0	0	1.45058	-0.472366	-1	-0.455428	0.148305	0.313963	
-1.45058	0.472366	1	0	0	0	-2.23711	0.728492	1.54222	
0	0	0	-0.362645	1.76326	-1	-0.611203	2.9718	-1.6854	
0.362645	-1.76326	1	0	0	0	-0.203546	0.989682	-0.56128	
0	0	0	-1.47531	1.9384	-1	-2.57866	3.3881	-1.74788	
1.47531	-1.9384	1	0	0	0	-2.41044	3.16707	-1.63386	
0	0	0	-1.55773	-0.00875706	-1	0.310635	0.0017463	0.199416	
1.55773	0.00875706	1	0	0	0	-2.38289	-0.0133959	-1.52972	
0	0	0	-0.42446	-0.204503	-1	0.106744	0.051429	0.251483	
0.42446	0.204503	1	0	0	0	-0.17636	-0.0849696	-0.415493	
0	0	0	-0.506879	-0.935975	-1	0.486397	0.898153	0.959591	
0.506879	0.935975	1	0	0	0	-0.210605	-0.388891	-0.415493	
0	0	0	-1.57833	-0.760834	-1	1.46524	0.706321	0.928351	
1.57833	0.760834	1	0	0	0	-2.23362	-1.07671	-1.41518	
0	0	0	-1.57833	-1.13172	-1	2.07337	1.48668	1.31365	
1.57833	1.13172	1	0	0	0	-2.20074	-1.57801	-1.39435	
0	0	0	-0.527484	-1.25535	-1	0.692927	1.64908	1.31365	
0.527484	1.25535	1	0	0	0	-0.20818	-0.495444	-0.394666	
0	0	0	1.36816	-1.16263	-1	-1.38411	1.17618	1.01166	
-1.36816	1.16263	1	0	0	0	-2.11	1.79303	1.54222	
0	0	0	0.461548	-1.01839	-1	-0.442898	0.977242	0.959591	
-0.461548	1.01839	1	0	0	0	-0.250407	0.552516	0.542536	
0	0	0	0.440944	-1.36868	-1	-0.579243	1.79796	1.31365	
-0.440944	1.36868	1	0	0	0	-0.266778	0.828071	0.605016	
0	0	0	1.36816	-1.482	-1	-1.91126	2.07029	1.39695	
-1.36816	1.482	1	0	0	0	-2.11	2.28557	1.54222	
0	0	0	0.29671	1.36146	-1	0.429011	1.96854	-1.4459	
-0.29671	-1.36146	1	0	0	0	-0.0466551	-0.214079	0.157242	
0	0	0	-0.0844798	1.44388	-1	-0.122149	2.0877	-1.4459	
0.0844798	-1.44388	1	0	0	0	-0.0245442	0.419496	-0.290533	
0	0	0	-0.187504	0.341525	-1	-0.0621886	0.113272	-0.331666	
0.187504	-0.341525	1	0	0	0	-0.0427608	0.0778857	-0.228053	
0	0	0	0.461548	0.259106	-1	0.15308	0.0859365	-0.331666	
-0.461548	-0.259106	1	0	0	0	-0.0917997	-0.0515349	0.198895	
